CapteurID,Quartier,TypeCapteur,DateInstallation,Statut,DerniereMAJ,Latitude,Longitude
CAP_0001,Quartier_Residentiel,Capteur_Frequence,2023-02-25,Actif,2024-12-31 17:00:00,48.809319,2.379694
CAP_0002,Quartier_Residentiel,Passerelle_IoT,2023-09-26,Actif,2024-12-30 13:00:00,48.879625,2.364649
CAP_0003,Quartier_Residentiel,Capteur_Tension,2023-02-20,Actif,2024-12-31 22:00:00,48.841841,2.373903
CAP_0004,Quartier_Residentiel,Compteur_Intelligent,2024-05-07,En_Panne,2024-12-30 08:00:00,48.818243,2.397893
CAP_0005,Centre_Ville,Capteur_Frequence,2024-06-28,En_Panne,2024-12-31 02:00:00,48.890419,2.323166
CAP_0006,Zone_Industrielle,Capteur_Frequence,2024-05-20,Actif,2024-12-30 17:00:00,48.890051,2.359029
CAP_0007,Quartier_Residentiel,Capteur_Frequence,2024-10-10,En_Maintenance,2024-12-29 20:00:00,48.838486,2.363313
CAP_0008,Zone_Commerciale,Capteur_Tension,2023-06-20,Actif,2024-12-29 23:00:00,48.886999,2.311456
CAP_0009,Quartier_Residentiel,Capteur_Frequence,2023-06-19,Actif,2024-12-29 09:00:00,48.8427,2.331212
CAP_0010,Zone_Industrielle,Compteur_Intelligent,2024-07-09,Actif,2024-12-29 22:00:00,48.877196,2.395802
CAP_0011,Centre_Ville,Capteur_Tension,2024-07-16,En_Maintenance,2024-12-30 16:00:00,48.825025,2.402136
CAP_0012,Quartier_Residentiel,Capteur_Tension,2023-08-21,Actif,2024-12-30 20:00:00,48.855219,2.308279
CAP_0013,Centre_Ville,Capteur_Frequence,2024-06-11,Actif,2024-12-31 01:00:00,48.872439,2.350726
CAP_0014,Zone_Commerciale,Passerelle_IoT,2024-06-14,Actif,2024-12-30 12:00:00,48.882903,2.394725
CAP_0015,Zone_Commerciale,Compteur_Intelligent,2024-01-08,Actif,2024-12-30 08:00:00,48.850935,2.361938
CAP_0016,Quartier_Residentiel,Capteur_Tension,2023-11-19,Actif,2024-12-30 12:00:00,48.821255,2.359027
CAP_0017,Zone_Commerciale,Passerelle_IoT,2023-06-23,En_Maintenance,2024-12-29 23:00:00,48.81071,2.391454
CAP_0018,Zone_Commerciale,Capteur_Tension,2024-03-05,En_Panne,2024-12-29 17:00:00,48.854895,2.326738
CAP_0019,Zone_Industrielle,Passerelle_IoT,2024-08-07,Actif,2024-12-30 18:00:00,48.834807,2.39636
CAP_0020,Zone_Industrielle,Passerelle_IoT,2023-06-16,Actif,2024-12-30 20:00:00,48.881003,2.356344
CAP_0021,Zone_Industrielle,Capteur_Frequence,2023-05-08,Actif,2024-12-30 16:00:00,48.897134,2.363397
CAP_0022,Zone_Commerciale,Capteur_Tension,2024-10-13,Actif,2024-12-31 04:00:00,48.887488,2.316137
CAP_0023,Zone_Industrielle,Capteur_Frequence,2024-08-26,Actif,2024-12-29 01:00:00,48.8539,2.366579
CAP_0024,Zone_Commerciale,Capteur_Tension,2023-07-27,En_Maintenance,2024-12-31 05:00:00,48.829825,2.399012
CAP_0025,Zone_Commerciale,Compteur_Intelligent,2024-11-13,Actif,2024-12-30 09:00:00,48.886237,2.346639
