customer_id,company_name,country_code,city,new_segment,contact_email
CLI-00073,ThermEurope 52,GE,Frankfurt,VIP,contact@thermeurope52.eu
CLI-01054,LumiPartners 72,FR,Lyon,Occasionnel,contact@lumipartners72.eu
CLI-00422,ElectraPro 65,DE,Stuttgart,Occasionnel,contact@electrapro65.eu
CLI-00306,ThermInstall 49,IT,Turin,VIP,contact@therminstall49.eu
CLI-00265,PowerSystems 96,ES,Sevilla,Fidele,contact@powersystems96.eu
CLI-01564,PowerDirect 11,FR,Strasbourg,Fidele,contact@powerdirect11.eu
CLI-01594,LumiTech 43,IT,Milan,VIP,contact@lumitech43.eu
CLI-02410,ThermPlus 60,FR,Paris,Fidele,contact@thermplus60.eu
CLI-00784,GreenPro 97,IT,Bologna,Fidele,contact@greenpro97.eu
CLI-00447,VoltInstall 48,FR,Marseille,VIP,contact@voltinstall48.eu
CLI-00166,WindSystems 52,NE,Amsterdam,VIP,contact@windsystems52.eu
CLI-00424,InstalDirect 21,BE,Antwerp,Fidele,contact@instaldirect21.eu
CLI-00800,ElectraEnergy 97,DE,Stuttgart,Fidele,contact@electraenergy97.eu
CLI-00354,PowerTech 79,DE,Berlin,Fidele,contact@updated.eu
CLI-01778,WindServices 32,FR,Marseille,Occasionnel,contact@windservices32.eu
CLI-02345,WindEnergy 18,ES,Bilbao,Fidele,contact@windenergy18.eu
CLI-01401,SunTech 90,SP,Sevilla,Fidele,contact@suntech90.eu
CLI-00512,RenovEnergy 19,FR,Lyon,VIP,contact@renovenergy19.eu
CLI-02304,BatEurope 62,ES,Valencia,Fidele,contact@bateurope62.eu
CLI-01810,EcoDirect 68,FR,Bordeaux,Occasionnel,contact@ecodirect68.eu
CLI-01003,WindTech 45,BE,Ghent,Fidele,contact@windtech45.eu
CLI-00872,VoltEnergy 35,FR,Toulouse,VIP,contact@voltenergy35.eu
CLI-01485,ThermPartners 54,NL,Eindhoven,VIP,contact@thermpartners54.eu
CLI-01139,InstalServices 33,FR,Marseille,Occasionnel,contact@instalservices33.eu
CLI-01507,EnerEurope 79,DE,Dusseldorf,Fidele,contact@enereurope79.eu
CLI-00692,SunEnergy 97,FR,Nantes,Fidele,contact@updated.eu
CLI-01732,GreenSolutions 16,FR,Lille,Fidele,contact@greensolutions16.eu
CLI-00028,EnerSolutions 36,FR,Lyon,Fidele,contact@enersolutions36.eu
CLI-00936,PowerPartners 85,IT,Naples,Occasionnel,contact@powerpartners85.eu
CLI-01904,BatServices 11,IT,Turin,Fidele,contact@batservices11.eu
CLI-01608,ElectraGroup 65,FR,Paris,VIP,contact@electragroup65.eu
CLI-01682,VoltServices 76,IT,Bologna,Occasionnel,contact@voltservices76.eu
CLI-00242,WindInstall 58,GE,Cologne,VIP,contact@windinstall58.eu
CLI-01276,BatGroup 51,ES,Bilbao,Fidele,contact@batgroup51.eu
CLI-01070,ThermServices 92,FR,Paris,Occasionnel,contact@thermservices92.eu
CLI-00490,VoltEurope 66,BE,Liege,VIP,contact@volteurope66.eu
CLI-01656,GreenSolutions 48,GE,Munich,Occasionnel,contact@greensolutions48.eu
CLI-00778,SunInstall 67,FR,Lille,VIP,contact@suninstall67.eu
CLI-02331,ElectraEurope 91,GE,Cologne,Occasionnel,contact@electraeurope91.eu
CLI-01112,InstalEurope 82,IT,Milan,VIP,contact@instaleurope82.eu
CLI-01134,EnerServices 58,ES,Barcelona,VIP,contact@enerservices58.eu
CLI-02190,GreenServices 38,FR,Bordeaux,Fidele,contact@greenservices38.eu
CLI-00287,PowerInstall 22,FR,Nantes,VIP,contact@powerinstall22.eu
CLI-02280,EcoPartners 86,FR,Lyon,VIP,contact@ecopartners86.eu
CLI-01809,PowerPro 88,GE,Hamburg,VIP,contact@powerpro88.eu
CLI-00474,VoltEurope 42,SP,Barcelona,Occasionnel,contact@volteurope42.eu
CLI-01199,WindPartners 78,BE,Antwerp,VIP,contact@windpartners78.eu
CLI-01397,EcoInstall 6,FR,Paris,Fidele,contact@ecoinstall6.eu
CLI-01491,RenovTech 33,BE,Liege,Fidele,contact@renovtech33.eu
CLI-01630,BatPartners 13,FR,Nantes,Occasionnel,contact@batpartners13.eu
CLI-00362,EnerGroup 85,BE,Ville non renseignee,Dormant,nouveau.contact@new.eu
CLI-00349,LumiDirect 35,FR,Lille,Occasionnel,nouveau.contact@updated.eu
CLI-00084,ThermInstall 73,GE,Ville non renseignee,Dormant,nouveau.contact@updated.eu
CLI-01805,BatSystems 7,AL,Hamburg,Occasionnel,nouveau.contact@updated.eu
CLI-01436,ThermSolutions 95,FR,Lille,Dormant,nouveau.contact@new.eu
CLI-01468,InstalEnergy 69,AL,Stuttgart,Dormant,nouveau.contact@migrated.eu
CLI-02323,PowerInstall 66,FR,Lyon,Fidele,nouveau.contact@updated.eu
CLI-00417,GreenTech 48,GE,Frankfurt,Occasionnel,nouveau.contact@migrated.eu
CLI-01916,RenovServices 99,FR,Marseille,Fidele,nouveau.contact@new.eu
CLI-00910,GreenSolutions 65,FR,Toulouse,Occasionnel,nouveau.contact@updated.eu
CLI-02367,SunPlus 37,IT,Naples,Fidele,nouveau.contact@migrated.eu
CLI-00564,ThermEnergy 69,GE,Stuttgart,VIP,nouveau.contact@updated.eu
CLI-01362,EnerGroup 47,AL,Munich,Occasionnel,nouveau.contact@new.eu
CLI-02039,ElectraTech 8,SP,Valencia,Dormant,nouveau.contact@new.eu
CLI-02017,WindPartners 37,IT,Naples,VIP,nouveau.contact@new.eu
CLI-01380,WindPartners 85,GE,Munich,Fidele,nouveau.contact@migrated.eu
CLI-01418,EnerPartners 49,FR,Toulouse,VIP,nouveau.contact@new.eu
CLI-01737,BatServices 90,IT,Turin,Occasionnel,nouveau.contact@updated.eu
CLI-01837,ThermPartners 55,GE,Hamburg,Occasionnel,nouveau.contact@updated.eu
CLI-01615,WindGroup 30,GE,Cologne,Occasionnel,nouveau.contact@migrated.eu
CLI-01847,VoltDirect 69,IT,Ville non renseignee,Fidele,nouveau.contact@updated.eu
CLI-01372,SolarGroup 9,NE,Utrecht,Occasionnel,nouveau.contact@updated.eu
CLI-00250,RenovTech 64,BE,Ghent,Fidele,nouveau.contact@new.eu
CLI-01747,VoltPro 4,FR,Lyon,Fidele,nouveau.contact@new.eu
CLI-02217,ThermInstall 78,IT,Rome,Occasionnel,nouveau.contact@migrated.eu
CLI-01703,VoltInstall 29,ES,Barcelona,Occasionnel,nouveau.contact@updated.eu
CLI-02159,WindPro 67,AL,Munich,Occasionnel,nouveau.contact@updated.eu
CLI-02390,ElectraPro 45,NE,Utrecht,Fidele,nouveau.contact@migrated.eu
CLI-00561,EcoServices 49,DE,Berlin,Fidele,nouveau.contact@new.eu
CLI-01625,BatPro 57,FR,Marseille,Dormant,nouveau.contact@migrated.eu
CLI-02027,PowerPartners 29,NL,Eindhoven,Dormant,nouveau.contact@new.eu
CLI-01064,VoltServices 94,FR,Paris,Occasionnel,nouveau.contact@migrated.eu
CLI-02119,GreenSystems 29,FR,Paris,Occasionnel,nouveau.contact@migrated.eu
CLI-01581,SunEnergy 41,SP,Madrid,Fidele,nouveau.contact@migrated.eu
CLI-00201,WindServices 59,ES,Valencia,Occasionnel,nouveau.contact@new.eu
CLI-01874,PowerTech 4,FR,Marseille,Dormant,nouveau.contact@migrated.eu
CLI-02312,PowerPro 31,IT,Rome,VIP,nouveau.contact@updated.eu
CLI-00980,EcoEnergy 14,FR,Marseille,VIP,nouveau.contact@migrated.eu
CLI-01620,ThermPlus 10,DE,Stuttgart,Fidele,nouveau.contact@updated.eu
CLI-00998,InstalEnergy 68,ES,Sevilla,Fidele,nouveau.contact@updated.eu
CLI-00839,ThermDirect 89,FR,Bordeaux,Occasionnel,nouveau.contact@updated.eu
CLI-00860,WindPro 41,BE,Brussels,Dormant,nouveau.contact@migrated.eu
CLI-00780,GreenSolutions 62,FR,Lille,Occasionnel,nouveau.contact@updated.eu
CLI-00308,LumiPlus 85,FR,Strasbourg,Fidele,nouveau.contact@migrated.eu
CLI-02310,PowerPartners 22,BE,Brussels,Fidele,nouveau.contact@migrated.eu
CLI-01044,ThermEnergy 86,IT,Rome,Fidele,nouveau.contact@new.eu
CLI-00631,GreenPro 45,ES,Ville non renseignee,Dormant,nouveau.contact@updated.eu
CLI-02342,GreenPartners 82,AL,Hamburg,Fidele,nouveau.contact@updated.eu
CLI-00588,BatPartners 11,SP,Bilbao,Dormant,nouveau.contact@migrated.eu
CLI-00155,GreenSolutions 26,IT,Bologna,Dormant,nouveau.contact@migrated.eu
CLI-01441,RenovEnergy 48,GE,Hamburg,Dormant,nouveau.contact@updated.eu
CLI-00300,GreenSolutions 48,SP,Sevilla,VIP,nouveau.contact@migrated.eu
CLI-01303,RenovEnergy 36,FR,Toulouse,Occasionnel,nouveau.contact@new.eu
